user_id,full_name,email,phone,password,date_of_birth,gender,image_url,created_at,updated_at,firebase_uid
8,User 8,user8@test.com,0900000008,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
9,User 9,user9@test.com,0900000009,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
10,User 10,user10@test.com,0900000010,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
11,User 11,user11@test.com,0900000011,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
12,User 12,user12@test.com,0900000012,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
13,User 13,user13@test.com,0900000013,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
14,User 14,user14@test.com,0900000014,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
15,User 15,user15@test.com,0900000015,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
16,User 16,user16@test.com,0900000016,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
17,User 17,user17@test.com,0900000017,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
18,User 18,user18@test.com,0900000018,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
19,User 19,user19@test.com,0900000019,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
20,User 20,user20@test.com,0900000020,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
21,User 21,user21@test.com,0900000021,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
22,User 22,user22@test.com,0900000022,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
23,User 23,user23@test.com,0900000023,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
24,User 24,user24@test.com,0900000024,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
25,User 25,user25@test.com,0900000025,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
26,User 26,user26@test.com,0900000026,$2b$10$fake_hashed_password,,,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
27,User 27,user27@test.com,0900000027,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
28,User 28,user28@test.com,0900000028,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
29,User 29,user29@test.com,0900000029,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
30,User 30,user30@test.com,0900000030,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
31,User 31,user31@test.com,0900000031,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
32,User 32,user32@test.com,0900000032,$2b$10$fake_hashed_password,,Nữ,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
33,User 33,user33@test.com,0900000033,$2b$10$fake_hashed_password,,Nam,https://netbrew.s3.ap-southeast-1.amazonaws.com/public/default_avatar.jpg,,,
